log,idx,bs,N,C,H,nomask,distribution,runs,mean_us,best_us,std_us,err_us
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,4,1,1024,128,128,1,cauchy,20,7634.483,7613.440,34.122,7.630
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,5,1,768,384,128,0,normal,3,5309.099,5306.368,3.128,1.806
gpumode/trimul_a100/logs/v28_cuda_ext_nomask_gate_tiled_leaderboard_20260507_124627.out,6,1,1024,384,128,1,normal,3,9372.672,9367.552,6.395,3.692
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,0,2,256,128,128,1,normal,3,905.216,904.192,1.024,0.591
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,1,1,768,128,128,1,cauchy,23,4028.861,4017.152,19.050,3.972
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,2,2,256,384,128,0,normal,3,1849.685,1849.344,0.591,0.341
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,3,1,512,128,128,1,normal,100,1535.109,1516.544,35.175,3.517
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,4,1,1024,128,128,1,cauchy,3,7342.080,7336.960,7.998,4.617
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,5,1,768,384,128,0,normal,49,5168.295,5149.696,36.079,5.154
gpumode/trimul_a100/logs/v29_cuda_ext_hidden_tiled16_leaderboard_20260507_125457.out,6,1,1024,384,128,1,normal,3,9162.752,9159.680,3.692,2.132
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,0,2,256,128,128,1,normal,100,838.492,797.696,45.842,4.584
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,1,1,768,128,128,1,cauchy,5,4035.994,4028.416,8.115,3.629
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,2,2,256,384,128,0,normal,4,1863.936,1860.608,3.680,1.840
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,3,1,512,128,128,1,normal,12,1583.445,1574.912,5.459,1.576
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,4,1,1024,128,128,1,cauchy,3,7337.984,7331.840,6.715,3.877
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,5,1,768,384,128,0,normal,3,5168.469,5163.008,8.588,4.958
gpumode/trimul_a100/logs/v30_cuda_ext_hidden_tile_dispatch_leaderboard_20260507_130301.out,6,1,1024,384,128,1,normal,3,9164.800,9158.656,6.715,3.877
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,0,2,256,128,128,1,normal,3,919.893,918.528,1.182,0.683
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,1,1,768,128,128,1,cauchy,3,3992.576,3989.504,3.072,1.774
gpumode/trimul_a100/logs/v31_cuda_ext_tile_dispatch_nomask_leaderboard_20260507_133232.out,2,2,256,384,128,0,normal,100,1550.100,1527.808,70.821,7.082
